request_id,expected_behavior,expected_order_id,expected_quantity,expected_date,expected_preferred_workshop,expected_excluded_workshop,expected_objective,notes
R01,CLARIFY,,,,,,,"usual quantities and order are unresolved"
R02,DECLINE,,,,,,,"historical allocation data is unavailable"
R03,CLARIFY,,,,,,,"TrendCart has multiple orders"
R04,ALLOCATE,ORD-029,1500,2026-04-01,,,,"complete request; deadline is today"
R05,CLARIFY,ORD-066,,,,,,"new required date is explicitly pending"
R06,ALLOCATE,ORD-061,800,2026-04-05,,,,"complete request"
R07,ALLOCATE,ORD-020,1200,2026-03-31,,,,"complete but already late"
R08,REFUSE,ORD-073,400,,FreshStart,,,"preferred workshop has a 300-piece cap"
R09,ALLOCATE,ORD-045,150,2026-04-09,,,fastest_turnaround,"complete golden path"
R10,CLARIFY,,,,,,,"order details missing"
R11,REFUSE,ORD-008,,,OldMill,,,"preferred workshop is suspended"
R12,ALLOCATE,ORD-053,800,2026-04-10,,QuickStitch,,"honour temporary exclusion"
R13,DECLINE,ORD-120,,,,,,"quoted customer price is not in data"
R14,REFUSE,ORD-103,,,QuickStitch,,,"QuickStitch cannot make accessories"
R15,CLARIFY,,,,,,,"Loom & Leaf has multiple orders"
R16,ALLOCATE,ORD-114,2000,2026-03-23,,,,"complete but already late"
R17,ALLOCATE,ORD-120,1500,2026-03-17,,,,"complete but already late"
R18,DECLINE,ORD-999,,,,,,"order is absent from data"
R19,CLARIFY,,,,,,fastest_turnaround,"big reorder is not uniquely identified"
R20,ALLOCATE,ORD-103,2000,2026-04-04,,,,"complete request"
R21,ALLOCATE,ORD-081,1500,2026-04-13,,,min_cost,"cost objective constrained by deadline"
R22,ALLOCATE,ORD-083,1000,2026-03-23,,,,"complete but already late"
R23,ALLOCATE,ORD-093,100,2026-03-29,,,,"split preference; allocator extension needed"
R24,REFUSE,ORD-015,,,Little Loom,,,"Little Loom cannot make tops"
R25,ALLOCATE,ORD-109,500,2026-04-13,,BudgetWorks,,"honour quality-based exclusion"
R26,ALLOCATE,ORD-107,2000,2026-03-16,,,,"complete but already late"
R27,ALLOCATE,ORD-055,800,2026-03-31,,,min_defects,"quality-first objective"
R28,ALLOCATE,ORD-002,1000,2026-03-29,,,min_lateness,"room this week means turnaround priority"
R29,CLARIFY,,,,,,,"vest order is not uniquely identified"
R30,ALLOCATE,ORD-099,1500,2026-04-05,,,,"complete request"

