order_id,customer,product,category,pieces,order_date,due_date,status,current_stage,last_activity_date,completed_date,days_late
ORD-057,UrbanThread,Cardigan,TOPS,600,2026-01-01,2026-02-02,COMPLETE,COMPLETE,2026-01-25,2026-01-25,-8
ORD-076,TrendCart,Crewneck sweater,TOPS,1200,2026-01-02,2026-01-27,COMPLETE,COMPLETE,2026-02-08,2026-02-08,12
ORD-110,Cotton Club,Scarf,ACCESSORIES,600,2026-01-02,2026-01-24,COMPLETE,COMPLETE,2026-01-27,2026-01-27,3
ORD-025,Cotton Club,Scarf,ACCESSORIES,400,2026-01-03,2026-01-26,COMPLETE,COMPLETE,2026-01-23,2026-01-23,-3
ORD-077,UrbanThread,Hoodie,TOPS,1000,2026-01-03,2026-02-07,COMPLETE,COMPLETE,2026-01-29,2026-01-29,-9
ORD-087,TrendCart,Hoodie,TOPS,1000,2026-01-03,2026-01-19,COMPLETE,COMPLETE,2026-02-18,2026-02-18,30
ORD-091,TrendCart,Polo shirt,TOPS,600,2026-01-03,2026-02-02,COMPLETE,COMPLETE,2026-01-27,2026-01-27,-6
ORD-117,Cotton Club,Scarf,ACCESSORIES,1000,2026-01-04,2026-01-18,COMPLETE,COMPLETE,2026-02-02,2026-02-02,15
ORD-007,Harbor Knits,Cardigan,TOPS,2000,2026-01-06,2026-01-30,COMPLETE,COMPLETE,2026-02-13,2026-02-13,14
ORD-080,Bright Basics,Hoodie,TOPS,2000,2026-01-07,2026-01-30,COMPLETE,COMPLETE,2026-02-18,2026-02-18,19
ORD-038,Loom & Leaf,Hoodie,TOPS,2000,2026-01-08,2026-02-08,COMPLETE,COMPLETE,2026-02-09,2026-02-09,1
ORD-049,Harbor Knits,Scarf,ACCESSORIES,300,2026-01-08,2026-01-22,COMPLETE,COMPLETE,2026-01-30,2026-01-30,8
ORD-105,Cotton Club,Hoodie,TOPS,200,2026-01-08,2026-02-10,COMPLETE,COMPLETE,2026-01-27,2026-01-27,-14
ORD-094,Maple & Co,Vest,TOPS,800,2026-01-09,2026-02-03,COMPLETE,COMPLETE,2026-01-31,2026-01-31,-3
ORD-028,TrendCart,Beanie,ACCESSORIES,150,2026-01-10,2026-01-26,COMPLETE,COMPLETE,2026-02-04,2026-02-04,9
ORD-100,Northwind Apparel,Crewneck sweater,TOPS,200,2026-01-10,2026-01-31,COMPLETE,COMPLETE,2026-02-04,2026-02-04,4
ORD-115,TrendCart,Cardigan,TOPS,2000,2026-01-10,2026-01-28,COMPLETE,COMPLETE,2026-02-28,2026-02-28,31
ORD-039,UrbanThread,Cardigan,TOPS,600,2026-01-11,2026-02-10,COMPLETE,COMPLETE,2026-02-10,2026-02-10,0
ORD-001,Cotton Club,Beanie,ACCESSORIES,1000,2026-01-12,2026-02-08,COMPLETE,COMPLETE,2026-02-10,2026-02-10,2
ORD-106,UrbanThread,Crewneck sweater,TOPS,100,2026-01-12,2026-02-11,COMPLETE,COMPLETE,2026-02-01,2026-02-01,-10
ORD-089,Maple & Co,Cardigan,TOPS,1000,2026-01-13,2026-02-07,COMPLETE,COMPLETE,2026-02-15,2026-02-15,8
ORD-101,Harbor Knits,Scarf,ACCESSORIES,1200,2026-01-13,2026-01-27,COMPLETE,COMPLETE,2026-02-07,2026-02-07,11
ORD-052,Harbor Knits,Hoodie,TOPS,1200,2026-01-14,2026-02-13,COMPLETE,COMPLETE,2026-02-12,2026-02-12,-1
ORD-009,Maple & Co,Hoodie,TOPS,500,2026-01-16,2026-02-12,COMPLETE,COMPLETE,2026-01-31,2026-01-31,-12
ORD-026,Cotton Club,Hoodie,TOPS,800,2026-01-16,2026-01-31,COMPLETE,COMPLETE,2026-02-05,2026-02-05,5
